Product Name,Buy Now Price (No HST + Shipping),Product Size
OVO Jurassic Park OG Owl Hoodie Black,CA$291,US XL
Jordan 12 Retro Winter Black,"CA$1,186",US M 13
Jordan 12 Retro Wool,CA$795,US M 13
Jordan 1 Retro High Royal Toe,CA$319,US M 13
Jordan 11 Retro Playoffs Bred (2019),CA$636,US M 13
Jordan 8 Retro Confetti,CA$553,US M 13
Jordan 4 Retro Metallic Purple,CA$660,US M 13
Jordan 4 Retro SB Pine Green,CA$904,US M 13
Jordan 4 Retro Military Black,CA$551,US M 13
Jordan 3 Retro Black Cat,CA$759,US M 13
Jordan 10 Retro Drake OVO Black,CA$726,US M 13
Jordan 6 Retro UNC,CA$573,US M 13
Jordan 4 Retro Motorsports Alternate,CA$573,US M 13
Jordan 4 Retro Raptors Drake OVO (2019),CA$596,US M 13
Jordan 12 Retro The Master,CA$666,US M 13
Jordan 11 Retro Cap and Gown,"CA$1,100",US M 13
Jordan 11 Retro Gamma Blue,"CA$1,100",US M 13
Jordan 5 Retro Black Metallic (2016),CA$675,US M 13
Jordan 3 Retro OG Black Cement (2024),CA$324,US M 13
Jordan 4 Retro Black Cat (2020),"CA$1,712",US M 13
Jordan 11 Retro Space Jam (2016),CA$709,US M 13
Jordan 6 Retro Black Infrared (2019),CA$557,US M 13
Jordan 6 Retro DMP (2020),CA$396,US M 13
Jordan 4 Retro Bred (2019),CA$905,US M 13
Nike Kyrie 5 UFO,--,US M 13
Jordan 4 Retro SE Black Canvas,CA$462,US M 13
Jordan 4 Retro Thunder (2023),CA$369,US M 13
Eric Emanuel EE Basic Short (SS22) Black/White,--,US L
Sp5der OG Rhinestone Logo Hoodie Black,CA$606,US L
Fear of God Essentials 3D Silicon Applique Pullover Hoodie Dark Slate/Stretch Limo/Black,CA$165,US L
Corteiz 5 Starz Special Edition Black Guerillaz Cargo Pant Black,CA$431,US L
Anti Social Social Club Dramatic Kkoch Tee Black,CA$109,US L
Nike x NOCTA Tech Fleece Open Hem Pant Black,CA$416,US L
Sp5der P*NK Hoodie Black,--,US L
Corteiz Guerillaz 2022* Cargo Shorts Black,--,US L
Nike x NOCTA Tech Fleece Hoodie Black,CA$302,US L
